image_path,label
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle347_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle717_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle202_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle652_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle828_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle28_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle594_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle740_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle310_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle605_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle255_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle486_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle469_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle193_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle90_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle890_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle306_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle756_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle243_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle613_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle490_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle869_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle69_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle886_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle86_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle185_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle701_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle351_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle644_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle214_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle582_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle428_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle795_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle280_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle453_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle900_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle45_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle845_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle146_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle516_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle238_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle668_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle392_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle687_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle404_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle541_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle111_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle812_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle12_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle384_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle691_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle412_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle941_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle804_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle107_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle557_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle279_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle783_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle629_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle296_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle916_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle445_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle500_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle150_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle853_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle53_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle24_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle824_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle127_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle577_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle598_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle432_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle520_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle170_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle873_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle73_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle936_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle465_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle259_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle609_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle65_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle865_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle166_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle536_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle473_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle189_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle920_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle561_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle131_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle832_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle32_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle424_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle218_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle648_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle849_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle49_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle263_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle799_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle633_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle326_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle776_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle408_.jpg,Maize leaf beetle
/Users/jeniphermawia/Desktop/crop/Maize leaf beetle/leaf beetle664_.jpg,Maize leaf beetle
